--------------------------------------------------
CSMaxDelays
f=18,q=6;-1333.041:-637.791:57.458;-226.779:-61.5:103.779;-175.074:-3.111:168.852;-866.489:-452.975:-39.461;-503.706:-159.561:184.584;0:0:0;-1885.016:-793.661:297.695;-230.572:-102.594:25.384;-234.96:-19.21:196.539;-1180.743:-630.76:-80.778;-253.429:-136.319:-19.209;-113.182:-3.336:106.511;-1509.752:-761.46:-13.168;-583.44:-157.952:267.537;-179.736:-31.47:116.796
f=20,q=4;-1393.407:155.869:1705.145;-241.551:732.161:1705.873;-144.888:790.549:1725.986;-614.255:340.686:1295.627;-799.757:634.1:2067.956;-297.695:793.661:1885.016;0:0:0;-279.359:691.066:1661.491;-200.508:774.45:1749.408;-1434.61:162.9:1760.41;-316.908:657.342:1631.592;-197.546:790.325:1778.195;-1805.023:32.201:1869.424;-397.683:635.709:1669.101;-180.9:762.191:1705.282
f=20,q=5;-1328.249:-535.197:257.855;-28.931:41.095:111.121;53.635:99.483:145.331;-757.158:-350.38:56.397;-527.198:-56.967:413.265;-25.384:102.594:230.572;-1661.491:-691.066:279.359;0:0:0;-48.523:83.384:215.291;-1173.488:-528.166:117.156;-74.506:-33.725:7.057;81.08:99.259:117.437;-1532.751:-658.865:215.02;-418.316:-55.357:307.601;24.181:71.125:118.069
f=20,q=6;-1527.558:-618.581:290.396;-104.317:-42.289:19.739;-91.227:16.099:123.425;-968.458:-433.764:100.93;-658.142:-140.351:377.441;-196.539:19.21:234.96;-1749.408:-774.45:200.508;-215.291:-83.384:48.523;0:0:0;-1234.321:-611.55:11.221;-289.773:-117.109:55.555;-122.847:15.875:154.596;-1652.712:-742.25:168.213;-369.861:-138.741:92.378;-183.353:-12.259:158.834
f=22,q=4;-890.282:-7.031:876.22;-57.702:569.261:1196.223;-43.763:627.649:1299.061;-749.288:177.786:1104.86;140.734:471.199:801.665;80.778:630.76:1180.743;-1760.41:-162.9:1434.61;-117.156:528.166:1173.488;-11.221:611.55:1234.321;0:0:0;-161.54:494.441:1150.422;-2.922:627.425:1257.771;-556.281:-130.7:294.882;-167.582:472.809:1113.199;-84.72:599.29:1283.301
f=22,q=5;-1258.91:-501.473:255.965;-35.898:74.819:185.536;53.569:133.207:212.846;-684.988:-316.656:51.676;-483.859:-23.242:437.375;19.209:136.319:253.429;-1631.592:-657.342:316.908;-7.057:33.725:74.506;-55.555:117.109:289.773;-1150.422:-494.441:161.54;0:0:0;94.637:132.983:171.329;-1489.893:-625.141:239.611;-425.295:-21.633:382.029;73.639:104.849:136.059
f=22,q=6;-1413.86:-634.456:144.948;-135.167:-58.164:18.84;-62.768:0.224:63.217;-856.138:-449.639:-43.14;-608.339:-156.225:295.888;-106.511:3.336:113.182;-1778.195:-790.325:197.546;-117.437:-99.259:-81.08;-154.596:-15.875:122.847;-1257.771:-627.425:2.922;-171.329:-132.983:-94.637;0:0:0;-1613.947:-758.124:97.698;-523.279:-154.616:214.047;-84.039:-28.134:27.771
f=24,q=4;-549.412:123.668:796.749;-188.096:699.96:1588.016;-155.789:758.348:1672.486;-682.439:308.485:1299.409;197.734:601.899:1006.064;13.168:761.46:1509.752;-1869.424:-32.201:1805.023;-215.02:658.865:1532.751;-168.213:742.25:1652.712;-294.882:130.7:556.281;-239.611:625.141:1489.893;-97.698:758.124:1613.947;0:0:0;-402.068:603.508:1609.084;-165.957:729.99:1625.937
f=24,q=5;-1596.987:-479.84:637.308;-196.496:96.452:389.4;-180.605:154.84:490.285;-1058.392:-295.023:468.346;-654.113:-1.609:650.894;-267.537:157.952:583.44;-1669.101:-635.709:397.683;-307.601:55.357:418.316;-92.378:138.741:369.861;-1113.199:-472.809:167.582;-382.029:21.633:425.295;-214.047:154.616:523.279;-1609.084:-603.508:402.068;0:0:0;-274.875:126.482:527.839
f=24,q=6;-1384.067:-606.322:171.423;-141.468:-30.03:81.408;-38.75:28.358:95.467;-785.329:-421.505:-57.681;-619.909:-128.091:363.727;-116.796:31.47:179.736;-1705.282:-762.191:180.9;-118.069:-71.125:-24.181;-158.834:12.259:183.353;-1283.301:-599.29:84.72;-136.059:-104.849:-73.639;-27.771:28.134:84.039;-1625.937:-729.99:165.957;-527.839:-126.482:274.875;0:0:0
--------------------------------------------------
CSAvgDelays
;f=16,q=4;f=16,q=5;f=16,q=6;f=18,q=4;f=18,q=5;f=18,q=6;f=20,q=4;f=20,q=5;f=20,q=6;f=22,q=4;f=22,q=5;f=22,q=6;f=24,q=4;f=24,q=5;f=24,q=6
f=16,q=4;0:0:0;-31.593:72.394:176.382;-29.081:77.018:183.118;-92.822:13.851:120.524;-26.769:70.86:168.488;-28.918:76.562:182.042;-450.319:-77.269:295.78;-30.717:73.138:176.994;-28.965:76.384:181.734;-226.133:-60.361:105.411;-30.273:72.932:176.138;-29.267:76.612:182.49;-100.158:-27.023:46.112;-41.234:70.264:181.762;-30.333:75.829:181.992
f=16,q=5;-176.382:-72.394:31.593;0:0:0;2.406:4.624:6.843;-134.763:-58.543:17.676;-9.475:-1.535:6.405;2.036:4.168:6.299;-456.983:-149.664:157.655;-0.468:0.744:1.956;1.951:3.99:6.029;-288.891:-132.755:23.38;-3.151:0.538:4.227;2.066:4.217:6.369;-130.729:-99.417:-68.106;-10.944:-2.13:6.684;1.05:3.435:5.82
