--------------------------------------------------
CSMaxDelays
f=22,q=5;-78.084:-41.246:-4.408;-109.296:-36.436:36.423;-95.764:-57.005:-18.246;-114.843:-28.17:58.503;-74.212:-18.476:37.26;-101.717:-51.945:-2.173;-152.697:-30.995:90.707;-48.118:-16.211:15.696;-69.675:-10.452:48.772;-110.752:-19.934:70.883;0:0:0;-76.539:-18.065:40.409;-29.038:-7.746:13.547;-55.135:-0.498:54.139;-61.338:-0.053:61.231
f=22,q=6;-97.074:-23.181:50.712;-52.604:-18.371:15.862;-77.235:-38.94:-0.644;-142.365:-10.105:122.155;-66.928:-0.411:66.107;-103.599:-33.88:35.839;-189.069:-12.93:163.21;-84.692:1.854:88.4;-88.119:7.614:103.346;-68.203:-1.869:64.464;-40.409:18.065:76.539;0:0:0;-69.441:10.32:90.08;-93.717:17.567:128.851;-52.199:18.012:88.223
f=24,q=4;-73.566:-33.5:6.565;-121.171:-28.691:63.79;-106.21:-49.259:7.692;-94.571:-20.425:53.722;-76.974:-10.73:55.513;-101.196:-44.2:12.797;-125.931:-23.249:79.432;-28.018:-8.466:11.087;-59.395:-2.706:53.982;-119.082:-12.189:94.704;-13.547:7.746:29.038;-90.08:-10.32:69.441;0:0:0;-28.602:7.247:43.096;-63.697:7.692:79.082
f=24,q=5;-89.159:-40.748:7.663;-152.574:-35.938:80.698;-137.392:-56.506:24.379;-113.134:-27.672:57.79;-94.772:-17.978:58.816;-142.299:-51.447:39.405;-123.564:-30.497:62.57;-40.757:-15.713:9.331;-58.711:-9.953:38.804;-142.062:-19.436:103.19;-54.139:0.498:55.135;-128.851:-17.567:93.717;-43.096:-7.247:28.602;0:0:0;-79.95:0.445:80.84
f=24,q=6;-74.417:-41.193:-7.968;-87.989:-36.383:15.223;-91.639:-56.952:-22.264;-173.417:-28.117:117.183;-23.999:-18.423:-12.846;-159.567:-51.892:55.783;-201.158:-30.942:139.275;-76.496:-16.158:44.18;-48.796:-10.398:27.999;-63.565:-19.881:23.802;-61.231:0.053:61.338;-88.223:-18.012:52.199;-79.082:-7.692:63.697;-80.84:-0.445:79.95;0:0:0
--------------------------------------------------
CSMaxQueueSizes
;f=16,q=4;f=16,q=5;f=16,q=6;f=18,q=4;f=18,q=5;f=18,q=6;f=20,q=4;f=20,q=5;f=20,q=6;f=22,q=4;f=22,q=5;f=22,q=6;f=24,q=4;f=24,q=5;f=24,q=6
f=16,q=4;0:0:0;-24.938:81.667:188.272;-56.347:77:210.347;-331.785:-71:189.785;9.094:88.333:167.573;-10.916:43:96.916;-341.585:-11:319.585;-94.254:81.667:257.588;4:103:202;-175.127:-68.667:37.793;-23.976:108.333:240.642;27.615:95.667:163.718;11.538:64.667:117.795;55.086:134:212.914;40.153:120:199.847
f=16,q=5;-188.272:-81.667:24.938;0:0:0;-90.451:-4.667:81.118;-414.105:-152.667:108.772;-74.268:6.667:87.602;-92.774:-38.667:15.44;-369.248:-92.667:183.914;-158.122:0:158.122;6.99:21.333:35.677;-303.606:-150.333:2.939;-32.036:26.667:85.369;-61.803:14:89.803;-116.745:-17:82.745;6.772:52.333:97.895;7.271:38.333:69.396
f=16,q=6;-210.347:-77:56.347;-81.118:4.667:90.451;0:0:0;-325.278:-148:29.278;-45.118:11.333:67.785;-125.213:-34:57.213;-289.477:-88:113.477;-68.793:4.667:78.126;-48.073:26:100.073;-364.998:-145.667:73.664;-1.75:31.333:64.416;-47.172:18.667:84.506;-102.331:-12.333:77.665;-5.505:57:119.505;-32.803:43:118.803
f=18,q=4;-189.785:71:331.785;-108.772:152.667:414.105;-29.278:148:325.278;0:0:0;-36.51:159.333:355.176;-132.889:114:360.889;-95.405:60:215.405;48.848:152.667:256.485;-74.322:174:422.322;-363.888:2.333:368.555;-30.138:179.333:388.805;-40.807:166.667:374.14;-73.111:135.667:344.445;-21.075:205:431.075;-52.503:191:434.503
f=18,q=5;-167.573:-88.333:-9.094;-87.602:-6.667:74.268;-67.785:-11.333:45.118;-355.176:-159.333:36.51;0:0:0;-96.388:-45.333:5.722;-350.759:-99.333:152.093;-107.285:-6.667:93.952;-52.057:14.667:81.39;-332.265:-157:18.265;-47.261:20:87.261;-4.922:7.333:19.588;-57.488:-23.667:10.154;9.808:45.667:81.525;-21.636:31.667:84.969
f=18,q=6;-96.916:-43:10.916;-15.44:38.667:92.774;-57.213:34:125.213;-360.889:-114:132.889;-5.722:45.333:96.388;0:0:0;-346.678:-54:238.678;-111.309:38.667:188.642;14.801:60:105.199;-240.094:-111.667:16.76;-16.662:65.333:147.329;12.891:52.667:92.442;-30.819:21.667:74.152;61.71:91:120.29;51.063:77:102.937
f=20,q=4;-319.585:11:341.585;-183.914:92.667:369.248;-113.477:88:289.477;-215.405:-60:95.405;-152.093:99.333:350.759;-238.678:54:346.678;0:0:0;-69.127:92.667:254.46;-154.963:114:382.963;-478.374:-57.667:363.041;-99.434:119.333:338.101;-156.361:106.667:369.694;-204.484:75.667:355.817;-118.902:145:408.902;-144.795:131:406.795
f=20,q=5;-257.588:-81.667:94.254;-158.122:0:158.122;-78.126:-4.667:68.793;-256.485:-152.667:-48.848;-93.952:6.667:107.285;-188.642:-38.667:111.309;-254.46:-92.667:69.127;0:0:0;-124.045:21.333:166.711;-426.188:-150.333:125.521;-79.154:26.667:132.487;-98.867:14:126.867;-140.144:-17:106.144;-73.496:52.333:178.163;-104.15:38.333:180.817
f=20,q=6;-202:-103:-4;-35.677:-21.333:-6.99;-100.073:-26:48.073;-422.322:-174:74.322;-81.39:-14.667:52.057;-105.199:-60:-14.801;-382.963:-114:154.963;-166.711:-21.333:124.045;0:0:0;-327.732:-171.667:-15.601;-44.868:5.333:55.535;-69.409:-7.333:54.742;-125.297:-38.333:48.63;-0.718:31:62.718;-2.719:17:36.719
f=22,q=4;-37.793:68.667:175.127;-2.939:150.333:303.606;-73.664:145.667:364.998;-368.555:-2.333:363.888;-18.265:157:332.265;-16.76:111.667:240.094;-363.041:57.667:478.374;-125.521:150.333:426.188;15.601:171.667:327.732;0:0:0;-27.758:177:381.758;1.323:164.333:327.343;-24.11:133.333:290.777;45.832:202.667:359.502;43.098:188.667:334.236
f=22,q=5;-240.642:-108.333:23.976;-85.369:-26.667:32.036;-64.416:-31.333:1.75;-388.805:-179.333:30.138;-87.261:-20:47.261;-147.329:-65.333:16.662;-338.101:-119.333:99.434;-132.487:-26.667:79.154;-55.535:-5.333:44.868;-381.758:-177:27.758;0:0:0;-84.426:-12.667:59.093;-143.361:-43.667:56.027;-27.982:25.667:79.315;-47.975:11.667:71.308
f=22,q=6;-163.718:-95.667:-27.615;-89.803:-14:61.803;-84.506:-18.667:47.172;-374.14:-166.667:40.807;-19.588:-7.333:4.922;-92.442:-52.667:-12.891;-369.694:-106.667:156.361;-126.867:-14:98.867;-54.742:7.333:69.409;-327.343:-164.333:-1.323;-59.093:12.667:84.426;0:0:0;-59.217:-31:-2.783;7.974:38.333:68.692;-21.833:24.333:70.5
f=24,q=4;-117.795:-64.667:-11.538;-82.745:17:116.745;-77.665:12.333:102.331;-344.445:-135.667:73.111;-10.154:23.667:57.488;-74.152:-21.667:30.819;-355.817:-75.667:204.484;-106.144:17:140.144;-48.63:38.333:125.297;-290.777:-133.333:24.11;-56.027:43.667:143.361;2.783:31:59.217;0:0:0;13.211:69.333:125.456;-13.44:55.333:124.107
f=24,q=5;-212.914:-134:-55.086;-97.895:-52.333:-6.772;-119.505:-57:5.505;-431.075:-205:21.075;-81.525:-45.667:-9.808;-120.29:-91:-61.71;-408.902:-145:118.902;-178.163:-52.333:73.496;-62.718:-31:0.718;-359.502:-202.667:-45.832;-79.315:-25.667:27.982;-68.692:-38.333:-7.974;-125.456:-69.333:-13.211;0:0:0;-31.915:-14:3.915
f=24,q=6;-199.847:-120:-40.153;-69.396:-38.333:-7.271;-118.803:-43:32.803;-434.503:-191:52.503;-84.969:-31.667:21.636;-102.937:-77:-51.063;-406.795:-131:144.795;-180.817:-38.333:104.15;-36.719:-17:2.719;-334.236:-188.667:-43.098;-71.308:-11.667:47.975;-70.5:-24.333:21.833;-124.107:-55.333:13.44;-3.915:14:31.915;0:0:0
--------------------------------------------------
PRMaxQueueSizes
;f=16,q=4;f=16,q=5;f=16,q=6;f=18,q=4;f=18,q=5;f=18,q=6;f=20,q=4;f=20,q=5;f=20,q=6;f=22,q=4;f=22,q=5;f=22,q=6;f=24,q=4;f=24,q=5;f=24,q=6
f=16,q=4;0:0:0;-754.328:-213.333:327.661;-153.016:-28.667:95.683;-134.893:189.333:513.559;-142.986:210:562.986;-331.316:-38.667:253.983;-226.526:116.333:459.193;23.037:289:554.963;-61.305:328:717.305;147.307:281:414.693;-236.667:365:966.667;23.55:296.333:569.117;291.977:400.333:508.69;-30.702:395.333:821.369;238.087:468.667:699.247
f=16,q=5;-327.661:213.333:754.328;0:0:0;-249.52:184.667:618.853;161.387:402.667:643.946;103.593:423.333:743.074;-103.605:174.667:452.938;-27.252:329.667:686.585;179.94:502.333:824.727;389.599:541.333:693.068;-15.872:494.333:1004.539;186.081:578.333:970.586;119.401:509.667:899.932;111.693:613.667:1115.64;455.515:608.667:761.818;211.134:682:1152.866
f=16,q=6;-95.683:28.667:153.016;-618.853:-184.667:249.52;0:0:0;13.242:218:422.758;8.529:238.667:468.805;-233.604:-10:213.604;-171.975:145:461.975;102.569:317.667:532.764;72.785:356.667:640.549;215.874:309.667:403.459;-171.029:393.667:958.362;167.896:325:482.104;263.106:429:594.894;84.845:424:763.155;354.18:497.333:640.487
f=18,q=4;-513.559:-189.333:134.893;-643.946:-402.667:-161.387;-422.758:-218:-13.242;0:0:0;-99.672:20.667:141.005;-404.213:-228:-51.787;-380.727:-73:234.727;-110.202:99.667:309.536;29.969:138.667:247.364;-179.346:91.667:362.68;-313.353:175.667:664.686;-49.474:107:263.474;-108.708:211:530.708;6.803:206:405.197;47.539:279.333:511.128
f=18,q=5;-562.986:-210:142.986;-743.074:-423.333:-103.593;-468.805:-238.667:-8.529;-141.005:-20.667:99.672;0:0:0;-539.688:-248.667:42.355;-516.123:-93.667:328.79;-239.722:79:397.722;-101.58:118:337.58;-184.73:71:326.73;-453.663:155:763.663;-7.163:86.333:179.829;-192.806:190.333:573.472;-129.564:185.333:500.231;82.22:258.667:435.113
f=18,q=6;-253.983:38.667:331.316;-452.938:-174.667:103.605;-213.604:10:233.604;51.787:228:404.213;-42.355:248.667:539.688;0:0:0;23.26:155:286.74;282.582:327.667:372.751;220.865:366.667:512.469;2.562:319.667:636.771;57.083:403.667:750.25;45.567:335:624.433;209.31:439:668.69;295.5:434:572.5;173.448:507.333:841.219
f=20,q=4;-459.193:-116.333:226.526;-686.585:-329.667:27.252;-461.975:-145:171.975;-234.727:73:380.727;-328.79:93.667:516.123;-286.74:-155:-23.26;0:0:0;63.657:172.667:281.676;-47.114:211.667:470.448;-243.721:164.667:573.054;-10.186:248.667:507.519;-233.767:180:593.767;37.111:284:530.889;74.921:279:483.079;-94.311:352.333:798.978
f=20,q=5;-554.963:-289:-23.037;-824.727:-502.333:-179.94;-532.764:-317.667:-102.569;-309.536:-99.667:110.202;-397.722:-79:239.722;-372.751:-327.667:-282.582;-281.676:-172.667:-63.657;0:0:0;-151.518:39:229.518;-316.508:-8:300.508;-273.745:76:425.745;-297.587:7.333:312.253;-80.867:111.333:303.534;-72.286:106.333:284.952;-159.282:179.667:518.616
f=20,q=6;-717.305:-328:61.305;-693.068:-541.333:-389.599;-640.549:-356.667:-72.785;-247.364:-138.667:-29.969;-337.58:-118:101.58;-512.469:-366.667:-220.865;-470.448:-211.667:47.114;-229.518:-39:151.518;0:0:0;-411.004:-47:317.004;-357.431:37:431.431;-296.716:-31.667:233.382;-282.869:72.333:427.536;-29.024:67.333:163.69;-197.206:140.667:478.54
f=22,q=4;-414.693:-281:-147.307;-1004.539:-494.333:15.872;-403.459:-309.667:-215.874;-362.68:-91.667:179.346;-326.73:-71:184.73;-636.771:-319.667:-2.562;-573.054:-164.667:243.721;-300.508:8:316.508;-317.004:47:411.004;0:0:0;-574.237:84:742.237;-148.79:15.333:179.456;-102.961:119.333:341.627;-313.553:114.333:542.219;86.498:187.667:288.835
f=22,q=5;-966.667:-365:236.667;-970.586:-578.333:-186.081;-958.362:-393.667:171.029;-664.686:-175.667:313.353;-763.663:-155:453.663;-750.25:-403.667:-57.083;-507.519:-248.667:10.186;-425.745:-76:273.745;-431.431:-37:357.431;-742.237:-84:574.237;0:0:0;-698.344:-68.667:561.011;-469.02:35.333:539.687;-268.37:30.333:329.036;-576.581:103.667:783.914
f=22,q=6;-569.117:-296.333:-23.55;-899.932:-509.667:-119.401;-482.104:-325:-167.896;-263.474:-107:49.474;-179.829:-86.333:7.163;-624.433:-335:-45.567;-593.767:-180:233.767;-312.253:-7.333:297.587;-233.382:31.667:296.716;-179.456:-15.333:148.79;-561.011:68.667:698.344;0:0:0;-217.211:104:425.211;-253.067:99:451.067;87.562:172.333:257.105
f=24,q=4;-508.69:-400.333:-291.977;-1115.64:-613.667:-111.693;-594.894:-429:-263.106;-530.708:-211:108.708;-573.472:-190.333:192.806;-668.69:-439:-209.31;-530.889:-284:-37.111;-303.534:-111.333:80.867;-427.536:-72.333:282.869;-341.627:-119.333:102.961;-539.687:-35.333:469.02;-425.211:-104:217.211;0:0:0;-373.185:-5:363.185;-235.898:68.333:372.564
f=24,q=5;-821.369:-395.333:30.702;-761.818:-608.667:-455.515;-763.155:-424:-84.845;-405.197:-206:-6.803;-500.231:-185.333:129.564;-572.5:-434:-295.5;-483.079:-279:-74.921;-284.952:-106.333:72.286;-163.69:-67.333:29.024;-542.219:-114.333:313.553;-329.036:-30.333:268.37;-451.067:-99:253.067;-363.185:5:373.185;0:0:0;-344.777:73.333:491.443
f=24,q=6;-699.247:-468.667:-238.087;-1152.866:-682:-211.134;-640.487:-497.333:-354.18;-511.128:-279.333:-47.539;-435.113:-258.667:-82.22;-841.219:-507.333:-173.448;-798.978:-352.333:94.311;-518.616:-179.667:159.282;-478.54:-140.667:197.206;-288.835:-187.667:-86.498;-783.914:-103.667:576.581;-257.105:-172.333:-87.562;-372.564:-68.333:235.898;-491.443:-73.333:344.777;0:0:0
